"s_info_compname"	"s_info_windcode"	"s_info_name"	"id"
"北京环球优路教育科技股份有限公司"	"A21205.SZ"	"优路教育(IPO终止)"	"6863"
"赣州逸豪新材料股份有限公司"	"A21405.SZ"	"逸豪新材"	"6864"
"浙江炜冈科技股份有限公司"	"A21421.SZ"	"炜冈科技"	"6865"
"湖北亿钧耀能新材股份公司"	"A21422.SZ"	"亿钧耀能"	"6866"
"欧克科技股份有限公司"	"A21423.SZ"	"欧克科技"	"6867"
"广州创显科教股份有限公司"	"A21424.SZ"	"创显科教"	"6868"
"江苏徐矿能源股份有限公司"	"A21448.SH"	"徐矿股份"	"6869"
"浙江升华云峰新材股份有限公司"	"A21457.SH"	"云峰新材"	"6870"
"成都兴蓉环保科技股份有限公司"	"A21496.SZ"	"环科股份"	"6871"
"上海儒竞科技股份有限公司"	"A21609.SZ"	"儒竞科技"	"6872"
"深圳中电港技术股份有限公司"	"A21610.SZ"	"中电港"	"6873"
"中信金属股份有限公司"	"A21611.SH"	"中信金属"	"6874"
"幺麻子食品股份有限公司"	"A21612.SZ"	"幺麻子"	"6875"
"赛灵药业科技集团股份有限公司"	"A21613.SZ"	"赛灵药业"	"6876"
"奥美森智能装备股份有限公司"	"A21681.SZ"	"奥美森"	"6877"
"彩虹集团新能源股份有限公司"	"A21682.SZ"	"彩虹新能"	"6878"
"南京贝迪新材料科技股份有限公司"	"A21683.SZ"	"贝迪新材"	"6879"
"广东汇成真空科技股份有限公司"	"A21684.SZ"	"汇成真空"	"6880"
"天津国安盟固利新材料科技股份有限公司"	"A21685.SZ"	"盟固利"	"6881"
"湖南崇德科技股份有限公司"	"A21686.SZ"	"崇德科技"	"6882"
"陕西源杰半导体科技股份有限公司"	"A22022.SH"	"源杰科技"	"6883"
"北京通美晶体技术股份有限公司"	"A22021.SH"	"北京通美"	"6884"
"中巨芯科技股份有限公司"	"A22020.SH"	"中巨芯"	"6885"
"湖南恒昌医药集团股份有限公司"	"A22023.SZ"	"恒昌医药"	"6886"
"龙源电力集团股份有限公司"	"001289.SZ"	"龙源电力"	"6887"
"北京康乐卫士生物技术股份有限公司"	"A22040.BJ"	"康乐卫士"	"6888"
"长虹塑料集团英派瑞塑料股份有限公司"	"A22050.BJ"	"英派瑞"	"6889"
"苏州宇邦新型材料股份有限公司"	"301266.SZ"	"宇邦新材"	"6890"
"德威华泰科技股份有限公司"	"A20661.SH"	"德威华泰(IPO终止)"	"6891"
"上海南方模式生物科技股份有限公司"	"688265.SH"	"南模生物"	"6892"
"武汉珈创生物技术股份有限公司"	"A20670.SH"	"珈创生物(IPO终止)"	"6893"
"江苏恒兴新材料科技股份有限公司"	"A20681.SH"	"恒兴科技"	"6894"
"山东三元生物科技股份有限公司"	"301206.SZ"	"三元生物"	"6895"
"河南皓泽电子股份有限公司"	"A20683.SZ"	"皓泽电子"	"6896"
"海南呀诺达圆融旅业股份有限公司"	"A20688.SZ"	"呀诺达(IPO终止)"	"6897"
"恒伦医疗科技股份有限公司"	"A20692.SZ"	"恒伦医疗(IPO终止)"	"6898"
"采纳科技股份有限公司"	"301122.SZ"	"采纳股份"	"6899"
"江苏沃得农业机械股份有限公司"	"A20690.SZ"	"沃得农机"	"6900"
"常州钟恒新材料股份有限公司"	"A21029.SZ"	"钟恒新材(IPO终止)"	"6901"
"广东中图半导体科技股份有限公司"	"A21032.SH"	"中图科技(IPO终止)"	"6902"
"安徽佳先功能助剂股份有限公司"	"430489.BJ"	"佳先股份"	"6903"
"青岛丰光精密机械股份有限公司"	"430510.BJ"	"丰光精密"	"6904"
"上海艾融软件股份有限公司"	"830799.BJ"	"艾融软件"	"6905"
"山东齐鲁华信实业股份有限公司"	"830832.BJ"	"齐鲁华信"	"6906"
"山东万通液压股份有限公司"	"830839.BJ"	"万通液压"	"6907"
"江苏森萱医药股份有限公司"	"830946.BJ"	"森萱医药"	"6908"
"河北润农节水科技股份有限公司"	"830964.BJ"	"润农节水"	"6909"
"宁夏凯添燃气发展股份有限公司"	"831010.BJ"	"凯添燃气"	"6910"
"国义招标股份有限公司"	"831039.BJ"	"国义招标"	"6911"
"新安洁智能环境技术服务股份有限公司"	"831370.BJ"	"新安洁"	"6912"
